product_category,price
Home & Kitchen,3635.56
Home & Kitchen,3644.79
Home & Kitchen,2481.7
Home & Kitchen,1459.27
Home & Kitchen,2616.33
Home & Kitchen,1665.28
Home & Kitchen,4487.8
Home & Kitchen,2288.87
Home & Kitchen,1523.47
Home & Kitchen,2061.55
Home & Kitchen,3202.88
Home & Kitchen,1782.57
Home & Kitchen,1526.47
Home & Kitchen,2893.6
Home & Kitchen,2895.83
Home & Kitchen,1844.35
Home & Kitchen,1884.51
Home & Kitchen,2873.47
Home & Kitchen,1048.58
Home & Kitchen,1074.45
Home & Kitchen,1624.54
Home & Kitchen,2199.48
Home & Kitchen,3012.7
Home & Kitchen,6058.76
Home & Kitchen,4182.41
Home & Kitchen,2271.24
Home & Kitchen,2471.64
Home & Kitchen,1369.95
Home & Kitchen,2472.38
Home & Kitchen,2102.43
Home & Kitchen,3034.12
Home & Kitchen,1521.89
Home & Kitchen,3414.05
Home & Kitchen,6270.99
Home & Kitchen,2342.07
Home & Kitchen,3181.39
Home & Kitchen,3782.47
Home & Kitchen,1965.13
Home & Kitchen,2859.78
Home & Kitchen,2518.96
Home & Kitchen,9887.32
Home & Kitchen,5027.53
Home & Kitchen,4717.21
Books,262.53
Books,223.9
Books,947.21
Books,262.55
Books,367.05
Books,278.97
Books,332.47
Books,256.98
Books,528.0
Books,214.21
Books,177.68
Books,286.12
Books,247.78
Books,179.25
Books,329.46
Books,147.73
Books,1127.9
Books,163.35
Books,271.42
Books,313.98
Books,1099.13
Books,141.64
Books,435.59
Books,745.28
Books,332.16
Books,198.26
Books,374.91
Books,999.97
Books,276.44
Books,946.88
Books,467.16
Books,837.96
Books,456.08
Books,299.12
Books,1069.32
Books,457.88
Books,442.01
Books,649.37
Books,696.42
Books,651.44
Books,177.87
Books,272.9
Books,269.76
Books,250.64
Books,237.03
Books,267.43
Books,489.33
Books,538.14
Books,399.61
Books,309.77
Books,859.84
Books,378.62
Books,701.84
Books,284.25
Books,512.7
Books,894.91
Books,83.61
Books,270.0
Books,571.18
Books,828.12
Books,451.84
Books,412.08
Books,1051.33
Books,859.08
Books,237.54
Books,428.94
Books,496.49
Books,1121.73
Books,672.57
Books,375.9
Books,456.46
Books,129.17
Books,715.26
Books,589.28
Books,827.79
Books,366.88
Books,431.94
Books,299.66
Books,200.86
Books,278.69
Books,134.27
Books,692.44
Books,108.48
Books,1353.91
Books,138.79
Books,983.78
Books,231.98
Books,560.08
Books,254.68
Books,1091.94
Books,410.63
Books,761.79
Books,418.67
Books,494.35
Books,578.9
Books,291.26
Books,185.54
Books,183.19
Books,412.39
Books,298.35
Books,110.38
Books,544.15
Books,192.55
Books,199.39
Books,390.13
Books,233.08
Books,430.51
Books,1307.07
Books,318.63
Books,211.82
Books,446.02
Books,251.22
Books,405.74
Books,483.4
Books,391.64
Books,413.81
Books,448.86
Books,1042.87
Books,343.68
Books,431.78
Books,3507.09
Books,5983.0
Books,2167.75
Beauty,446.42
Beauty,839.08
Beauty,1995.97
Beauty,183.2
Beauty,491.92
Beauty,464.93
Beauty,715.13
Beauty,777.39
Beauty,423.2
Beauty,540.23
Beauty,503.04
Beauty,648.16
Beauty,911.91
Beauty,1381.53
Beauty,1506.9
Beauty,1184.16
Beauty,473.54
Beauty,798.42
Beauty,3324.95
Beauty,1470.46
Beauty,614.19
Beauty,2066.96
Beauty,633.82
Beauty,535.7
Beauty,1848.35
Beauty,364.61
Beauty,253.75
Beauty,1407.24
Beauty,813.4
Beauty,863.53
Beauty,644.04
Beauty,693.34
Beauty,607.74
Beauty,549.5
Beauty,636.17
Beauty,624.24
Beauty,486.61
Beauty,576.81
Beauty,178.21
Beauty,1206.4
Beauty,1011.07
Beauty,760.26
Beauty,922.43
Beauty,942.71
Beauty,518.12
Beauty,581.18
Beauty,1098.39
Beauty,906.07
Beauty,2726.04
Beauty,2114.09
Beauty,1400.27
Beauty,506.52
Beauty,570.14
Beauty,438.51
Beauty,946.21
Beauty,154.48
Beauty,607.55
Beauty,665.53
Beauty,320.55
Beauty,1291.1
Beauty,403.88
Beauty,939.41
Beauty,4250.87
Beauty,304.3
Beauty,731.78
Beauty,626.49
Beauty,557.48
Beauty,1262.39
Beauty,1553.72
Beauty,1271.04
Beauty,518.33
Beauty,3445.83
Beauty,276.57
Beauty,430.54
Beauty,885.76
Beauty,844.08
Beauty,1072.17
Beauty,2064.6
Beauty,744.49
Beauty,856.5
Beauty,559.98
Beauty,1138.66
Beauty,660.85
Beauty,660.62
Beauty,1108.43
Beauty,1488.56
Beauty,212.67
Beauty,993.35
Beauty,680.27
Beauty,1412.59
Beauty,688.52
Beauty,1746.28
Beauty,533.13
Beauty,209.85
Beauty,1503.52
Beauty,482.26
Beauty,309.97
Beauty,807.74
Beauty,693.05
Beauty,1310.91
Beauty,1366.57
Beauty,847.24
Beauty,470.47
Beauty,950.3
Beauty,883.36
Beauty,1125.49
Beauty,473.3
Beauty,629.16
Beauty,1085.98
Beauty,1690.89
Beauty,1428.19
Beauty,840.37
Beauty,597.15
Beauty,1019.33
Beauty,415.62
Beauty,490.0
Beauty,1979.25
Beauty,1018.24
Beauty,649.43
Beauty,1315.66
Beauty,2962.76
Beauty,4897.89
Beauty,3743.07
